binwalk HelloWorld_gcc_arm_lpc1768/HelloWorld/mbed/LPC1768/GCC_ARM/libcapi.a > hw2_bin_walk_libcapi_a.txt


DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
2718          0xA9E           ELF 32-bit LSB relocatable, ARM, version 1 (SYSV)
3426          0xD62           Unix home path string: "/home/emimon01/smb/work/mbed/emilmont/mbed_capi/gpio_irq_api.c"
4342          0x10F6          LZMA compressed data, properties: 0x63, dictionary size: 16777216 bytes, uncompressed size: 100663296 bytes
4422          0x1146          LZMA compressed data, properties: 0x7E, dictionary size: 16777216 bytes, uncompressed size: 100663296 bytes
4582          0x11E6          LZMA compressed data, properties: 0xBF, dictionary size: 16777216 bytes, uncompressed size: 33554432 bytes
6166          0x1816          ELF 32-bit LSB relocatable, ARM, version 1 (SYSV)
8378          0x20BA          LZMA compressed data, properties: 0x76, dictionary size: 16777216 bytes, uncompressed size: 100663296 bytes
10794         0x2A2A          ELF 32-bit LSB relocatable, ARM, version 1 (SYSV)
12054         0x2F16          Unix home path string: "/home/emimon01/smb/work/mbed/emilmont/mbed_capi/serial_api.c"
13338         0x341A          LZMA compressed data, properties: 0x8A, dictionary size: 16777216 bytes, uncompressed size: 100663296 bytes
13418         0x346A          LZMA compressed data, properties: 0xA2, dictionary size: 16777216 bytes, uncompressed size: 100663296 bytes
13498         0x34BA          LZMA compressed data, properties: 0xB4, dictionary size: 16777216 bytes, uncompressed size: 100663296 bytes
13538         0x34E2          LZMA compressed data, properties: 0xC6, dictionary size: 16777216 bytes, uncompressed size: 100663296 bytes
13578         0x350A          LZMA compressed data, properties: 0xD8, dictionary size: 16777216 bytes, uncompressed size: 100663296 bytes
14698         0x396A          LZMA compressed data, properties: 0x6C, dictionary size: 16777216 bytes, uncompressed size: 5120 bytes
16382         0x3FFE          ELF 32-bit LSB relocatable, ARM, version 1 (SYSV)
17482         0x444A          ELF 32-bit LSB relocatable, ARM, version 1 (SYSV)
18418         0x47F2          LZMA compressed data, properties: 0x75, dictionary size: 16777216 bytes, uncompressed size: 100663296 bytes
19242         0x4B2A          ELF 32-bit LSB relocatable, ARM, version 1 (SYSV)
20678         0x50C6          LZMA compressed data, properties: 0x88, dictionary size: 16777216 bytes, uncompressed size: 33554432 bytes
20718         0x50EE          LZMA compressed data, properties: 0x9B, dictionary size: 16777216 bytes, uncompressed size: 805306368 bytes
21182         0x52BE          LZMA compressed data, properties: 0x6C, dictionary size: 16777216 bytes, uncompressed size: 2560 bytes
